ZINC000053026007	CC(C)Oc1ccccc1N1CCN(C2CCC(NC(=O)Nc3cc(F)ccc3F)CC2)CC1
ZINC000003802837	CN1C[C@@H](NC(=O)C(C)(C)C)C[C@@H]2c3cccc4[nH]c(Cl)c(c43)C[C@H]21
ZINC000013826925	CN1C[C@@H](NC(=O)C(C)(C)C)C[C@H]2c3cccc4[nH]c(Cl)c(c43)C[C@H]21
ZINC000026399124	O=c1[nH]c2cccc(N3CCN(Cc4cc(-c5ccc(F)cc5)ccn4)CC3)c2o1
ZINC000003810392	COc1ccc(CCCCNCCOc2cc(F)cc3c2OCC[C@H]3O)cc1
ZINC000013780382	COc1ccc(CCCCNCCOc2cc(F)cc3c2OCC[C@@H]3O)cc1
ZINC000003995616	CC(C)[C@@]1(NC(=O)[C@@H]2C[C@@H]3c4cccc5[nH]cc(c54)C[C@H]3N(C)C2)O[C@@]2(O)[C@@H]3CCCN3C(=O)[C@H](Cc3ccccc3)N2C1=O
ZINC000013761778	COc1ccc(CCCCNCCOc2cc(Cl)cc3c2OCCC3)cc1
ZINC000001533849	Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cc1
ZINC000001533850	Nc1ccc(C#CCCN2CC=C(c3ccccc3)CC2)cn1
ZINC000002169415	CCCN(CCc1ccccc1)[C@H]1CCc2c(O)cccc2C1
ZINC000002169418	CCCN(CCc1ccccc1)[C@@H]1CCc2c(O)cccc2C1
ZINC000003870310	CCCN(CCC)[C@@H]1CCc2ccc(O)cc2C1
ZINC000012356186	Oc1ccc2c(c1)O[C@H](CNCCCOc1ccc3ncoc3c1)CC2
ZINC000012356188	Oc1ccc2c(c1)O[C@@H](CNCCCOc1ccc3ncoc3c1)CC2
ZINC000013759798	CCCN[C@@H]1CCc2c(O)cccc2C1
ZINC000013759799	CCCN[C@H]1CCc2c(O)cccc2C1
ZINC000013775920	Oc1ccc2c(c1)O[C@H](CNCCCOc1ccc3cccnc3c1)CC2
ZINC000013775921	Oc1ccc2c(c1)O[C@@H](CNCCCOc1ccc3cccnc3c1)CC2
ZINC000013775926	Oc1ccc2c(c1)O[C@H](CNCCCOc1ccccc1)CC2
ZINC000013775927	Oc1ccc2c(c1)O[C@@H](CNCCCOc1ccccc1)CC2
ZINC000013775934	Nc1nccc(OCCCNC[C@@H]2CCc3ccc(O)cc3O2)n1
ZINC000013775935	Nc1nccc(OCCCNC[C@H]2CCc3ccc(O)cc3O2)n1
ZINC000013826575	CCCN1CC[C@@H]2Cc3c(O)cccc3C[C@H]21
ZINC000022032760	CN1CCN([C@@H]2Cc3ccccc3Sc3ccc(Cl)cc32)CC1
ZINC000026577113	COc1ccccc1N1CCN(CCCCc2ccc3c(c2)oc(=O)n3CCN2CCC(C(=O)c3ccc(F)cc3)CC2)CC1
ZINC000064453427	CCCc1cc(O)c(OC)c(C(=O)NC[C@@H]2CCCN2CC)c1
ZINC000072109000	O=c1[nH]c2ccccc2n1C1CCN(CCCOc2ccc(F)cc2)CC1
ZINC000103224189	CCCN1C[C@@H](Cn2cncn2)O[C@@H]2Cc3c(O)cccc3C[C@H]21
ZINC000026579142	FC(F)(F)c1nc2c(cccc2N2CCN(Cc3ccccc3)CC2)[nH]1
ZINC000071316894	CCCN(CCCCNC(=O)c1ccc(-c2ccccc2)cc1)[C@H]1CCn2nccc2C1
ZINC000098085495	FC(F)(F)c1nc2c(cccc2-[n+]2cc[n+](Cc3ccccc3)cc2)[nH]1
ZINC000004175569	Oc1nc2ccccc2n1CCCN1CCC(n2c(O)nc3cc(Cl)ccc32)CC1
